,indice,pais,consumo de petroleo diario (barrils),Proporcao Mundial,Consumo anual per Capita (galao),Traduzido
0,1,Estados Unidos,"19,687,287",20.3 %,934.3,Estados Unidos
1,2,China,"12,791,553",13.2 %,138.7,China
2,3,Índia,"4,443,000",4.6 %,51.4,Índia
3,4,Japão,"4,012,877",4.1 %,481.5,Japão
4,5,Rússia,"3,631,287",3.7 %,383.2,Rússia
5,6,Arábia Saudita,"3,302,000",3.4 %,"1,560.20",Arábia Saudita
6,7,Brasil,"2,984,000",3.1 %,221.9,Brasil
7,8,Coreia do Sul,"2,605,440",2.7 %,783.4,Coreia do Sul
8,9,Canadá,"2,486,301",2.6 %,"1,047.60",Canadá
9,10,Alemanha,"2,383,393",2.5 %,444.5,Alemanha
10,11,México,"2,052,607",2.1 %,255.1,México
11,12,Irã,"1,803,999",1.9 %,347.6,Irã
12,13,França,"1,705,568",1.8 %,404.3,França
13,14,Indonésia,"1,623,000",1.7 %,95.1,Indonésia
14,15,Reino Unido,"1,583,896",1.6 %,366.2,Reino Unido
15,16,Cingapura,"1,357,000",1.4 %,"3,679.50",Cingapura
16,17,Tailândia,"1,302,000",1.3 %,289.4,Tailândia
17,18,Espanha,"1,290,063",1.3 %,424.1,Espanha
18,19,Itália,"1,236,628",1.3 %,312.5,Itália
19,20,Austrália,"1,114,645",1.1 %,704.3,Austrália
20,21,Taiwan,"981,203",1.0 %,636.9,Taiwan
21,22,Turquia,"941,861",1.0 %,180.9,Turquia
22,23,Países Baixos,"937,098",1.0 %,846,Países Baixos
23,24,Emirados Árabes Unidos,"896,000",0.9 %,"1,467.30",Emirados Árabes Unidos
24,25,Egito,"877,000",0.9 %,142.3,Egito
25,26,Iraque,"857,000",0.9 %,358.9,Iraque
26,27,Argentina,"709,000",0.7 %,249.8,Argentina
27,28,Malásia,"708,000",0.7 %,353.7,Malásia
28,29,África do Sul,"640,000",0.7 %,174.6,África do Sul
29,30,Bélgica,"631,522",0.7 %,852.6,Bélgica
30,31,Venezuela,"598,000",0.6 %,307.1,Venezuela
31,32,Polônia,"582,161",0.6 %,234.9,Polônia
32,33,Paquistão,"556,000",0.6 %,41.9,Paquistão
33,34,Vietnã,"478,000",0.5 %,78.3,Vietnã
34,35,Argélia,"429,000",0.4 %,162.2,Argélia
35,36,Filipinas,"429,000",0.4 %,63.4,Filipinas
36,37,Nigéria,"428,000",0.4 %,35.3,Nigéria
37,38,Hong Kong,"408,491",0.4 %,864.5,Hong Kong
38,39,Kuwait,"359,000",0.4 %,"1,390.90",Kuwait
39,40,Colômbia,"357,000",0.4 %,113.6,Colômbia
40,41,Chile,"351,989",0.4 %,296.3,Chile
